JSON_count,JSON_data_allPumbLights,JSON_data_doorNum,JSON_data_levelIn,JSON_data_levelOut,JSON_data_pumbNum,JSON_data_recTime,JSON_data_stationName,JSON_data_stationNo
77,-,2,1.96,1.21,5,202109011651,康樂,62
,-,3,3.61,0.23,5,202109011652,南港,51
,-,4,1.38,1.81,7,202109011651,康寧,78
,-,1,3.97,0.2,3,202109011651,南湖,50
,-,1,2.35,1.67,4,202109011651,長壽,49
,-,1,1.79,0.64,4,202109011651,成功,48
,-,1,2.54,0.41,3,202109011651,成美,42
,-,5,0.29,0.35,11,202109011652,玉成,15
,-,1,1.77,0.42,3,202109011652,南京,16
,-,1,2.6,1.08,3,202109011651,松山,17
,-,2,-0.08,0.44,10,202109011652,新民權,47
,-,2,0.02,0.41,5,202109011651,撫遠,18
,-,1,0.52,0.52,10,202109011651,陽光,46
,-,2,1.4,1.77,8,202109011651,港漧,45
,-,2,0.55,0.53,6,202109011651,環山,44
,-,2,0.5,0.49,8,202109011651,北安,43
,-,2,-0.2,0.55,6,202109011651,濱江,19
,-,10,0.36,0.75,12,202109011651,大直,20
,-,3,-0.43,0.6,9,202109011651,中山,21
,-,4,-0.49,0.54,9,202109011651,建國,22
,-,5,-0.37,0.56,12,202109011651,新生,23
,-,1,-0.36,0.55,4,202109011652,新生二,76
,-,2,-0.32,-0.35,6,202109011651,圓山,24
,-,3,-0.43,0.7,5,202109011651,劍潭,26
,-,3,-0.43,0.57,4,202109011652,大龍,25
,-,2,-0.26,0.46,5,202109011651,社子,29
,-,5,-0.42,0.77,10,202109011651,士林,27
,-,6,-0.46,0.81,2,202109011651,士林二,28
,+,12,-0.06,0.73,13,202109011653,社基下,70
,-,8,0.07,0.64,15,202109011652,社基上,71
,-,2,-0.21,0.66,2,202109011651,洲美二,67
,-,5,-0.19,0.75,6,202109011650,洲美一,64
,-,1,0.37,0.72,1,202109011652,大業二,72
,-,2,0.76,0.51,7,202109011652,大業東,77
,-,2,-0.04,0.5,5,202109011652,下八仙,73
,-,3,4.18,2.95,7,202109011651,誠正,74
,-,1,13.25,12.24,2,202109011653,木新,81
,-,3,0.12,0.12,6,202109011653,林森,36
,-,0,-2.45,1.55,3,202109011653,文林,82
,-,1,-0.25,-0.26,4,202109011653,新長安,53
,-,2,1.45,1.55,4,202109011654,文林二,83
,-,3,0.75,-0.27,2,202109011653,長春,38
,-,2,-0.6,-0.46,5,202109011653,民生,39
,-,3,1.12,3.91,5,202109011653,洲美,84
,-,1,0.47,-0.35,1,202109011653,民權,40
,-,1,8.42,5.63,3,202105271500,勤力,85
,-,1,7.22,5.35,3,202105271500,南深左,86
,-,2,0.5,-0.35,5,202109011653,錦州,41
,-,1,-11.25,5.35,3,202105271500,南深右,87
,-,2,4.65,4.19,5,202109011652,景美,07
,-,2,5.24,4.17,9,202109011653,景美二,63
,-,1,4.52,3.8,4,202109011652,古亭,08
,-,2,0.15,0.62,10,202109011652,雙園,09
,-,1,0.69,0.61,2,202109011652,貴陽,10
,-,5,0.34,0.62,9,202109011652,忠孝,11
,-,2,-2.11,0.7,4,202109011652,六館,12
,-,3,-0.47,0.64,11,202109011652,迪化,13
,-,12,-0.54,0.68,4,202109011652,社淡上,68
,-,8,0.12,0.74,14,202109011652,社淡下,69
,-,2,0.12,0.7,3,202109011652,中洲,14
,-,4,12.97,12.13,4,202109011652,萬芳,01
,-,2,13.27,9.12,6,202109011652,道南,02
,-,1,11.53,8.7,3,202109011653,老泉溪,54
,-,1,11.65,8.93,3,202109011653,無名溪,55
,-,1,12.72,6.92,2,202109011653,保儀,03
,-,3,10.84,9.83,3,202109011653,實踐,04
,-,2,10.68,8.44,4,202109011653,中港,05
,-,3,9.88,6.32,3,202109011653,埤腹,06
,-,2,1.37,1.45,5,202109011653,芝山,30
,-,3,1.4,1.45,5,202109011653,福德,31
,-,6,1.37,1.38,7,202109011653,福林,32
,-,2,1.38,1.41,3,202109011653,文昌,33
,-,2,1.79,3.45,4,202109011654,東華,34
,-,1,1.9,1.88,4,202109011653,奇岩,35
,-,2,0.53,0.7,4,202109011650,北憲,65
,-,1,6.94,6.84,2,202109011652,福山,66
,-,1,6.91,1.33,2,202109011652,經貿,61
